epoch,step,train_loss,train_acc,val_loss,val_acc,train_task,train_kl,train_recon,train_contr,val_task,val_kl,val_recon,val_contr,train_ppl,train_te,val_ppl,val_te,sav_version
0,1867,9.476599686338611,0.5890932410196615,5.011146583942452,0.8575000483408945,2.2251498175931603,0.07311240216691185,5.097940736488665,2.0803967200311417,0.6705511973963844,0.1360690232479211,2.1365336408518782,2.0679927004708185,39.04785506929141,0.5388519495326748,1.9988745667060799,0.20652848013301903,1
1,3734,4.536604554179395,0.891553537307002,4.378605315179536,0.9016720213517113,0.4545922077110762,0.05221603658543147,1.9497305871843973,2.0800657193802485,0.3513324320918382,0.03122559152167253,1.9357757580400718,2.060271520205218,1.6039553899598733,0.15857430159637567,1.4322080734203047,0.1327994962945249,2
2,5601,4.3182789053454655,0.9120419621014781,4.306099080076121,0.9130465331886777,0.29287823248728434,0.027452795112322983,1.9194655993052454,2.078482278988332,0.26358383374683786,0.045533525484679926,1.9363027865236455,2.060678901094379,1.3476369219156963,0.10107521622828759,1.307943584696847,0.0844651238123464,3
3,7468,4.205608012016023,0.9178055512138621,4.18588494532036,0.9238911639588335,0.24681843416969854,0.03472049290490904,1.8529006027255903,2.071168488592915,0.2162446038741054,0.03329040503336324,1.8849827797725947,2.0513671395754574,1.286372490457624,0.08380533541422386,1.2449401323641633,0.06836833566276758,4
4,9335,4.073018068672185,0.9475956159893006,4.001365632721872,0.9744538603449686,0.1670973218207252,0.03482439992106338,1.8055634284377033,2.0655329204461252,0.10018480239868766,0.037848571052003385,1.8250682992164535,2.0382639488788565,1.186747525858245,0.06556906106493399,1.1081636106467099,0.046370554164907714,5
5,11202,3.86435903287151,0.9741713577639766,3.8370447905376706,0.9793538819183757,0.09864392314663922,0.05140835562961333,1.6900814583611858,2.0242252939195637,0.07698786824076163,0.06254640428556336,1.705736675045707,1.9917738540003997,1.1070601178287518,0.04798444296553033,1.0817931359031066,0.036623664333010106,6
6,13069,3.754663333959227,0.9790177177191702,3.7295938814529266,0.9798357311140442,0.07849147106632072,0.061970100517124815,1.6146232613472613,1.999578503599509,0.08116638280611221,0.0619095012997136,1.603683802816603,1.9828341826043947,1.083494131034435,0.040006595217453325,1.0877208677978105,0.031352620880748014,7
7,14936,3.7048601585719187,0.9792313815094734,3.715032616046944,0.9819821426121232,0.07844939786434746,0.059947199622656995,1.5775564319639201,1.9889071297377396,0.06790240730318908,0.05890373272275684,1.6239485283090611,1.964277957424973,1.0836525690896714,0.04049350366145034,1.0719912515246437,0.03774914586899717,8
8,16803,3.676013160371244,0.9801913002108037,3.6880418989393444,0.9813435846772526,0.0741795666566833,0.058497192851907756,1.559981828905646,1.9833545717378318,0.07081411648400579,0.05828420942028364,1.5860695959341646,1.972873977940492,1.0790121941265491,0.038935061311081154,1.075363157475292,0.03640932140595102,9
9,18670,3.6516585948956353,0.980108984629316,3.650964450354528,0.98393036965161,0.07356355280407625,0.05596548884540365,1.5445892481671084,1.977540302417083,0.05916373051627718,0.05562939600209997,1.5672885733421402,1.9688827413501162,1.0782711629541113,0.039776465875166124,1.062009045935867,0.029135980853697563,10
10,20537,3.6423566412274444,0.9809007617642085,3.6633025082674893,0.9808955921009502,0.0707013378807078,0.057572705847778356,1.5335617121937573,1.980520885770948,0.0737923257796075,0.05685524872005588,1.569650953466242,1.9630039773806176,1.075119513523376,0.03774919074573261,1.0790932696847573,0.03618409830783471,10
11,22404,3.6087231508984434,0.9809396494366651,3.598165203826596,0.979784613225975,0.0711037932447296,0.055813903161626356,1.5068955163171602,1.974909939035478,0.07294277234162871,0.057503371189037956,1.5092510490706472,1.9584680145437068,1.0755841117743639,0.03902611280931775,1.077423137883871,0.04254784367216839,11
12,24271,3.5885496030980146,0.9818394082574315,3.6202584733866683,0.9834274579179325,0.06797460770375635,0.052150209645337134,1.4954686426005392,1.9729561445607051,0.06428554057463477,0.050230849985823486,1.542777909172906,1.9629641831523241,1.0722004618327057,0.03717428990448516,1.0681368387190169,0.03418731594923033,11
13,26138,3.568268174402332,0.9812786247856258,3.5700648842435894,0.9807418922410226,0.0684652888489595,0.05319449427449326,1.4820765249858134,1.9645318689995037,0.06798905056355653,0.056346744562339304,1.4935321470703742,1.9521969388229679,1.0726699795662664,0.037710698241953916,1.0719230629628287,0.03855854048757977,12
14,28005,3.5527759436687556,0.9823643675368449,3.570106443732676,0.9843228313437595,0.06394278476627425,0.05877509879184778,1.4813584783336473,1.9486995820508772,0.056900214839837225,0.06269929520409516,1.5074307942631269,1.9430761433611012,1.067586755415215,0.03544006378515809,1.0596697520807925,0.031930879256389516,12
